"CN","type","plat","TP"
"C_124","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_125","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_126","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_127","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_128","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_129","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_130","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_131","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_132","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_133","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_134","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_135","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_136","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_137","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_138","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_139","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_140","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_141","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_142","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_143","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_144","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_145","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_146","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_147","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_148","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_149","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_150","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_151","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_152","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_153","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_154","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_155","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_156","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_157","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_158","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_159","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_160","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_161","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_162","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_163","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_164","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_165","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_166","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_167","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_168","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_169","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_170","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_171","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_172","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_173","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_174","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_175","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_176","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_177","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_178","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_179","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_180","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_181","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_182","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_183","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_184","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_185","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_186","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_187","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_188","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_189","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_190","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_191","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_192","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_193","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_194","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_195","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_196","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_197","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_198","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_199","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_200","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_201","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_202","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_203","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_204","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_205","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_206","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_207","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_208","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_209","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_210","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_211","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_212","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_213","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_214","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_215","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_216","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_217","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_218","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_219","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_220","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_221","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_222","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_223","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_224","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_225","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_226","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_227","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_228","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_229","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_230","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_231","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_232","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_233","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_234","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_235","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_236","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_237","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_238","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_239","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_240","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_241","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_242","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_243","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_244","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_245","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_246","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_247","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_248","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_249","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_250","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_251","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_252","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_253","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_254","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_255","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_256","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_257","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_258","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_259","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_260","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_261","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_262","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_263","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_264","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_265","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_266","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_267","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_268","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_269","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_270","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_271","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_272","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_273","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_274","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_275","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_276","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_277","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_278","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_279","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_280","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_281","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_282","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_283","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_284","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_285","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_286","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_287","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_288","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_289","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_290","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_291","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_292","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_293","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_294","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_295","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_296","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_297","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_298","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_299","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_300","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_301","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_302","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_303","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_304","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_305","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_306","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_307","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_308","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_309","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_310","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_311","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_312","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_313","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_314","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_315","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_316","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_317","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_318","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_319","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_320","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_321","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_322","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_323","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_324","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_325","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_326","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_327","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_328","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_329","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_330","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_331","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
"C_332","Glioblastoma Multiforme","Agilent","Glioblastoma Multiforme_Agilent"
