"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129" "V130" "V131" "V132" "V133" "V134" "V135" "V136" "V137" "V138" "V139" "V140" "V141" "V142" "V143" "V144" "V145" "V146" "V147" "V148" "V149" "V150" "V151" "V152" "V153" "V154" "V155" "V156" "V157" "V158" "V159" "V160" "V161" "V162" "V163" "V164" "V165" "V166" "V167" "V168" "V169" "V170" "V171" "V172" "V173" "V174" "V175" "V176" "V177" "V178" "V179" "V180" "V181" "V182" "V183" "V184" "V185" "V186" "V187" "V188" "V189" "V190" "V191" "V192" "V193" "V194" "V195" "V196" "V197" "V198" "V199" "V200" "V201" "V202" "V203" "V204" "V205" "V206" "V207" "V208" "V209" "V210" "V211" "V212" "V213" "V214" "V215" "V216" "V217" "V218" "V219" "V220" "V221" "V222" "V223" "V224" "V225" "V226" "V227" "V228" "V229" "V230" "V231" "V232" "V233" "V234" "V235" "V236" "V237" "V238" "V239" "V240" "V241" "V242" "V243" "V244" "V245" "V246" "V247" "V248" "V249" "V250" "V251" "V252" "V253" "V254" "V255" "V256" "V257" "V258" "V259" "V260" "V261" "V262" "V263" "V264" "V265" "V266" "V267" "V268" "V269" "V270" "V271" "V272" "V273" "V274" "V275" "V276" "V277" "V278" "V279" "V280" "V281" "V282" "V283" "V284" "V285" "V286" "V287" "V288" "V289" "V290" "V291" "V292" "V293" "V294" "V295" "V296" "V297" "V298" "V299" "V300" "V301" "V302" "V303" "V304" "V305" "V306" "V307" "V308" "V309" "V310" "V311" "V312" "V313" "V314" "V315" "V316" "V317" "V318" "V319" "V320" "V321" "V322" "V323" "V324" "V325" "V326" "V327" "V328" "V329" "V330" "V331" "V332" "V333" "V334" "V335" "V336" "V337" "V338" "V339" "V340" "V341" "V342" "V343" "V344" "V345" "V346" "V347" "V348" "V349" "V350" "V351" "V352" "V353" "V354" "V355" "V356" "V357" "V358" "V359" "V360" "V361" "V362" "V363" "V364" "V365" "V366" "V367" "V368" "V369" "V370" "V371" "V372" "V373" "V374" "V375" "V376" "V377" "V378" "V379" "V380" "V381" "V382" "V383" "V384" "V385" "V386" "V387" "V388" "V389" "V390" "V391" "V392" "V393" "V394" "V395" "V396" "V397" "V398" "V399" "V400"
"11" 23 17 19 23 23 17 25 17 20 26 18 15 21 27 18 27 26 22 25 22 23 23 27 16 20 27 24 24 17 20 18 18 22 20 22 24 26 22 18 26 19 20 26 16 28 22 23 24 19 18 21 17 17 24 22 26 19 20 19 21 19 25 25 21 18 17 20 21 26 23 22 22 25 21 21 19 23 22 23 22 14 24 27 20 19 22 25 18 25 17 23 23 25 28 20 17 20 19 19 18 23 29 16 17 28 23 21 23 21 21 22 23 21 23 23 18 21 22 24 21 19 22 18 22 26 25 22 20 18 23 16 19 19 20 24 19 22 15 19 28 25 22 22 21 18 16 25 20 19 21 24 27 21 17 20 19 22 25 20 28 17 20 25 21 20 27 18 25 21 22 22 21 27 27 27 22 26 24 19 26 17 17 22 23 23 27 22 25 21 24 18 24 17 24 18 21 17 16 21 22 24 23 20 19 21 19 19 21 25 25 23 21 21 19 20 17 20 23 26 23 19 22 19 21 23 19 17 22 18 22 20 19 18 25 19 15 24 19 19 24 22 16 26 25 20 25 24 26 17 19 17 21 21 19 22 16 24 24 22 26 17 22 21 21 25 22 20 18 20 17 23 20 15 23 22 21 21 19 21 21 22 15 25 20 25 22 19 21 24 18 21 19 21 19 24 18 18 15 26 25 20 22 28 19 21 18 21 21 28 25 21 24 16 17 23 24 28 19 22 17 20 24 18 19 21 20 18 20 22 19 19 17 27 19 24 22 21 22 25 25 21 15 23 20 20 21 19 17 23 22 24 20 20 22 27 26 19 23 25 20 21 20 25 17 24 22 23 20 20 19 21 19 20 17 21 22 18 29 21 23 23 21 19 21 22 24 22 27 23 20 22 19 26 26 18 23 17 18 19 16
"12" 24 20 21 24 25 20 28 19 23 27 19 16 23 29 19 28 27 23 26 25 25 24 28 17 21 30 25 26 20 23 21 19 24 21 24 29 28 24 24 27 20 21 27 17 32 24 26 26 22 19 23 20 18 25 27 28 21 22 21 27 22 27 29 23 19 18 21 23 27 24 24 24 26 22 22 20 26 24 24 24 15 26 28 21 22 23 27 19 26 18 24 24 26 29 23 19 23 20 23 21 25 31 18 22 29 25 23 24 22 24 24 24 22 25 27 19 22 24 25 23 20 23 19 24 27 28 23 22 22 25 17 23 21 22 25 27 24 16 22 29 26 25 24 27 19 20 27 23 20 22 25 29 22 19 21 21 23 26 22 29 19 21 26 22 22 29 22 26 22 23 23 22 28 28 29 26 27 25 21 27 19 24 24 26 29 29 24 26 22 25 21 26 22 25 19 22 21 17 23 23 25 24 21 20 22 22 20 23 26 28 24 23 22 20 24 18 23 24 27 26 21 23 20 22 25 26 18 26 19 25 24 20 22 26 21 18 25 20 23 25 23 22 28 26 22 26 26 28 18 20 19 22 23 20 23 17 25 25 25 27 20 23 24 25 27 23 22 19 24 18 24 22 19 25 23 25 22 22 24 22 23 19 26 22 27 24 21 22 25 19 22 23 23 24 30 23 22 16 29 27 22 24 29 23 23 20 22 23 29 26 23 25 17 18 24 25 29 20 25 19 22 27 19 20 25 21 19 23 25 21 21 19 28 20 26 25 22 25 26 26 24 16 25 23 21 22 22 19 24 23 25 21 21 23 28 27 22 27 27 21 22 23 26 18 25 24 26 21 23 21 24 21 21 18 22 23 20 30 23 24 24 24 21 26 23 26 25 28 25 24 23 20 29 27 20 25 18 20 20 19
"13" 26 23 23 26 27 22 29 21 24 28 22 17 27 30 22 29 28 26 27 26 26 26 29 20 22 32 27 29 24 26 23 20 25 22 25 30 29 27 25 28 21 22 28 19 33 25 28 27 23 21 27 23 21 29 28 29 22 26 22 30 25 28 32 25 21 19 22 27 29 25 25 25 27 26 23 23 28 25 26 26 21 27 30 23 25 24 28 23 27 27 25 26 27 30 28 21 27 22 24 22 26 33 21 25 30 27 24 25 23 26 27 28 27 27 28 20 24 28 27 24 26 29 20 28 28 30 24 24 25 30 19 24 22 23 28 28 26 18 23 31 27 28 26 31 22 24 28 25 25 25 26 30 23 22 25 24 26 27 24 30 21 23 27 23 24 32 23 27 23 24 24 24 30 29 30 27 28 26 24 28 22 27 25 27 30 31 25 30 23 29 22 29 24 26 24 23 22 19 24 24 26 25 23 23 26 23 21 24 27 29 25 26 26 21 25 20 25 25 29 28 24 24 26 25 26 28 23 28 22 28 27 23 24 27 22 20 26 24 24 29 25 23 29 28 23 27 27 30 20 22 20 23 24 26 24 18 27 26 27 28 21 24 26 29 28 28 23 24 26 24 26 25 22 26 24 26 24 23 26 23 26 20 28 27 28 28 27 25 26 20 24 25 24 25 31 24 24 20 30 28 23 26 31 25 29 23 24 26 30 27 25 28 19 19 25 27 30 21 30 20 28 28 20 24 27 22 21 25 27 23 24 20 31 22 29 28 23 29 27 27 30 17 26 24 24 24 24 21 25 26 26 23 23 25 29 28 25 29 29 25 23 29 27 20 26 25 27 22 24 24 25 25 22 19 23 24 22 31 27 26 25 25 25 27 24 27 26 29 27 27 24 21 30 28 22 27 19 23 22 22
"14" 27 24 24 31 28 25 30 23 25 32 24 18 28 31 27 30 30 27 28 28 27 27 30 21 27 33 29 31 28 27 25 25 28 26 26 31 31 29 26 29 22 25 29 22 34 26 29 30 24 22 29 25 22 30 29 31 25 29 24 31 27 31 33 26 23 23 24 28 30 26 30 26 28 28 24 26 29 28 27 31 23 30 31 26 30 25 32 24 28 28 26 27 29 31 29 25 28 25 26 24 28 34 25 26 32 29 26 28 25 27 30 29 28 28 30 22 25 30 30 25 27 30 21 29 29 32 26 25 28 32 22 26 23 24 29 30 28 21 24 32 29 29 27 33 23 25 29 28 30 30 27 31 25 24 28 25 28 28 25 31 22 24 28 24 27 34 25 30 24 25 25 28 31 31 31 29 31 27 25 29 23 29 29 28 31 32 29 32 24 30 23 31 29 27 26 24 23 22 26 27 27 26 27 24 28 24 23 25 31 31 27 28 28 24 26 22 26 30 30 29 25 25 27 26 28 29 26 29 24 29 28 25 28 28 24 24 27 25 25 32 26 28 30 30 27 28 30 31 24 28 24 24 25 27 29 22 29 27 32 29 22 27 28 30 29 30 24 25 31 27 28 27 26 28 28 29 25 25 30 26 28 21 29 29 29 31 31 26 27 26 27 30 25 27 32 26 26 21 31 30 26 27 33 26 30 30 25 27 31 29 30 31 21 22 26 30 31 22 32 22 29 29 23 25 30 23 23 26 29 25 26 23 32 24 30 29 26 30 29 29 31 20 27 25 25 25 26 24 26 28 27 24 24 26 31 29 27 30 32 28 26 31 31 21 29 26 28 23 26 26 27 26 26 20 25 28 24 32 28 27 29 26 26 29 25 28 27 31 34 29 26 22 31 29 25 29 25 24 26 27
"15" 28 25 29 32 29 28 32 24 26 34 26 19 29 32 28 32 31 28 29 30 29 28 32 24 28 34 31 33 30 28 29 27 33 27 28 32 32 31 27 31 26 26 33 25 35 28 31 31 28 28 30 27 26 32 31 32 27 30 25 34 28 32 34 27 24 27 25 29 31 29 31 28 32 32 26 29 31 31 28 32 26 31 32 27 31 27 34 28 29 29 29 29 30 33 30 32 30 26 28 25 29 35 28 28 33 30 27 29 26 28 31 30 29 29 31 24 26 34 31 26 28 31 23 30 30 33 28 27 29 33 27 27 25 25 31 32 29 22 25 33 30 32 29 35 24 27 32 29 31 31 30 33 27 25 31 27 29 29 28 32 27 26 29 25 28 35 26 32 27 26 26 29 32 32 33 31 32 29 27 30 24 30 30 30 33 34 30 33 28 31 24 32 33 28 29 26 24 23 29 30 30 30 28 25 30 28 26 31 32 33 28 30 30 25 27 25 27 32 31 30 28 34 29 27 30 31 31 30 25 30 29 27 29 29 25 30 28 27 26 33 27 29 32 32 28 30 33 33 27 30 25 27 26 28 30 23 31 31 33 30 23 29 29 32 30 31 25 26 32 30 30 28 27 29 31 30 28 26 32 29 31 23 30 30 30 32 32 27 29 27 30 31 27 30 33 27 31 22 32 32 29 29 34 28 31 31 27 28 32 30 31 33 22 23 27 33 34 23 33 25 33 30 25 28 32 25 26 29 31 30 30 26 33 25 32 30 27 32 30 30 32 22 28 29 26 28 27 29 28 29 30 27 25 28 32 30 28 31 33 30 32 32 33 22 33 27 31 24 31 31 28 29 27 22 28 31 25 33 30 29 33 28 28 30 30 29 28 32 35 30 29 23 33 30 28 33 26 25 27 28
"16" 29 31 31 33 31 33 33 25 31 36 28 21 30 33 30 33 32 30 30 32 31 29 33 26 30 35 33 34 32 29 30 31 35 28 31 33 33 32 29 33 28 27 35 26 36 29 33 33 32 29 31 28 27 33 32 33 30 31 26 35 31 33 36 28 28 32 26 30 33 30 35 31 33 33 27 33 32 35 32 34 30 33 35 33 34 28 36 29 30 30 30 30 32 34 32 35 31 29 31 29 31 36 30 29 35 32 28 31 29 35 32 32 31 30 33 28 30 35 32 29 32 33 25 31 31 35 32 28 30 35 30 29 29 29 32 36 30 23 31 34 32 36 31 36 26 32 34 30 34 32 35 35 31 30 32 30 31 30 30 33 32 27 31 26 30 36 28 34 28 27 27 32 36 33 35 32 34 34 29 31 25 31 33 31 35 35 31 34 29 33 28 33 34 32 31 27 25 25 30 32 31 32 33 31 31 29 29 33 33 34 32 35 32 27 28 28 28 34 33 31 29 35 31 29 31 33 33 32 28 33 30 28 34 31 26 31 31 32 31 34 29 31 33 33 30 32 35 35 30 31 27 31 34 29 31 26 34 33 34 31 27 31 33 33 32 32 26 27 33 31 32 29 31 31 34 33 29 27 33 30 34 29 32 31 31 34 33 28 30 29 33 32 28 32 34 28 33 24 33 33 30 30 35 30 33 32 28 32 33 31 34 34 25 26 28 34 35 24 35 26 34 32 28 31 34 26 31 30 32 32 32 31 34 28 33 32 29 33 31 31 33 23 30 31 27 29 35 30 31 34 33 29 27 29 33 35 33 32 34 32 34 34 35 24 35 31 32 27 32 33 32 31 28 31 29 32 26 34 31 34 34 29 30 35 32 31 30 33 36 33 30 24 34 36 29 34 30 27 33 32
"17" 31 32 32 34 33 36 35 27 34 37 31 22 32 35 35 35 34 31 33 34 32 34 35 29 31 36 35 35 36 31 31 32 36 31 32 35 35 34 30 35 33 29 36 30 37 30 35 34 34 30 33 29 29 34 34 34 32 33 27 37 32 35 37 32 30 33 27 31 34 33 36 32 36 34 28 34 33 36 33 35 31 34 37 34 35 29 37 30 31 37 31 31 33 35 34 36 33 30 32 30 32 37 31 32 36 34 30 32 30 37 33 33 33 31 35 33 34 36 33 30 33 34 27 35 33 36 33 31 32 36 31 30 32 30 33 37 31 26 32 36 33 37 35 37 32 33 36 31 36 34 37 36 32 32 34 33 32 31 33 34 35 33 32 27 32 37 34 35 33 30 28 33 37 34 36 33 35 36 31 34 28 32 35 32 36 36 33 36 34 34 31 34 36 34 32 28 27 26 32 33 33 34 35 33 32 34 31 34 35 37 36 36 33 29 31 30 31 35 34 33 33 37 35 30 32 34 34 33 29 34 31 29 36 32 28 32 32 35 32 36 30 33 36 34 31 34 36 36 34 32 28 37 36 30 33 32 35 34 36 35 32 34 36 34 33 33 27 28 34 32 34 36 35 33 35 34 30 28 34 32 35 31 33 34 32 35 34 30 31 30 34 33 34 33 35 32 34 28 34 34 35 32 36 31 34 33 31 34 34 32 35 35 32 29 29 35 36 27 36 27 36 34 30 34 35 28 35 31 35 34 34 33 35 30 34 34 33 36 32 33 34 25 34 32 28 33 37 34 35 35 34 34 29 31 35 36 35 34 35 34 35 35 36 31 36 32 34 28 33 35 34 32 29 33 32 33 28 35 32 35 36 35 31 36 34 33 33 34 37 37 31 34 35 37 30 35 31 29 34 33
"18" 32 34 35 35 37 38 36 28 36 38 35 23 36 36 36 36 35 38 34 35 33 35 36 37 36 37 37 36 37 36 34 36 38 32 33 36 36 36 33 36 35 32 37 31 38 31 37 35 35 33 35 32 32 36 35 36 33 35 28 38 34 36 38 33 34 38 30 32 36 35 38 35 37 36 31 35 35 37 36 36 34 35 38 35 36 32 38 35 36 38 37 33 35 36 36 37 34 31 37 31 33 38 32 33 37 35 31 35 31 38 36 34 37 33 38 35 37 37 36 33 35 35 33 38 34 38 34 32 33 37 33 36 36 33 35 38 32 32 35 37 35 38 37 38 35 34 37 34 38 35 38 37 34 34 36 34 33 32 38 35 36 35 34 28 34 38 36 36 35 31 29 35 38 38 38 34 37 37 35 36 30 36 36 34 38 38 34 37 35 35 35 36 38 36 33 34 31 27 33 36 35 36 36 34 33 35 38 35 38 38 38 37 34 32 34 33 32 37 35 35 34 38 36 34 34 35 37 34 32 35 36 30 37 37 32 35 33 36 33 37 34 34 37 36 34 35 37 38 35 37 30 38 37 31 34 33 38 35 37 36 38 36 37 35 34 34 31 30 36 36 35 37 36 34 36 35 34 31 35 33 36 37 34 35 34 37 35 32 34 35 36 35 35 35 36 33 36 29 35 38 36 34 37 33 35 35 32 36 35 35 37 36 33 33 31 36 38 31 37 28 38 35 32 35 36 29 36 38 36 35 36 36 36 33 35 37 36 38 33 34 35 31 35 33 32 35 38 35 37 37 35 37 33 32 37 38 36 35 38 37 37 36 37 32 37 34 35 36 34 36 36 34 30 35 33 36 29 36 38 36 38 37 32 37 35 36 36 36 38 38 32 35 36 38 31 37 34 32 35 34
"19" 33 35 37 38 39 39 37 31 38 39 37 29 38 37 37 38 36 39 36 38 38 38 37 38 37 38 39 38 39 39 35 37 39 34 39 38 39 37 34 37 36 35 38 32 39 39 39 38 37 35 38 33 36 37 38 38 34 37 29 39 37 38 39 35 35 39 31 33 37 39 39 37 39 38 32 36 36 38 37 39 36 39 39 36 38 34 39 38 37 39 39 36 37 38 39 38 36 32 38 37 34 39 36 38 38 38 34 37 34 39 39 38 39 34 39 38 38 38 39 37 37 38 35 39 39 39 37 37 36 39 35 39 38 38 37 39 36 34 37 38 38 39 38 39 37 38 39 38 39 38 39 39 35 35 37 37 35 35 39 36 39 38 39 31 38 39 38 38 37 34 33 37 39 39 39 35 38 39 36 37 33 38 37 36 39 39 37 39 36 38 36 39 39 38 34 36 35 30 34 39 37 39 37 37 38 37 39 36 39 39 39 39 35 33 36 38 35 39 39 36 39 39 37 36 35 37 39 36 37 36 39 32 39 38 34 37 36 37 36 39 36 35 38 39 37 36 39 39 36 38 34 39 38 35 36 35 39 36 38 38 39 38 38 38 35 38 33 34 39 37 38 38 37 36 37 38 38 35 37 36 37 38 35 37 37 39 38 33 38 36 37 36 36 39 37 36 37 32 37 39 38 35 38 34 37 36 33 37 39 37 39 38 35 34 37 38 39 34 38 30 39 39 34 36 38 36 38 39 38 37 38 37 37 37 36 38 37 39 35 38 36 34 37 39 35 36 39 37 39 38 39 39 34 33 38 39 37 37 39 38 38 37 38 33 39 36 38 38 35 37 37 35 36 37 35 39 35 39 39 37 39 38 35 38 37 38 38 38 39 39 35 37 38 39 33 38 36 33 36 36
"20" 37 38 38 40 40 40 39 39 40 40 39 36 39 39 39 39 40 40 40 40 39 39 39 39 40 40 40 39 40 40 38 39 40 39 40 40 40 39 40 40 37 38 40 39 40 40 40 40 38 39 40 35 37 39 39 39 37 39 32 40 40 40 40 38 36 40 38 39 40 40 40 38 40 40 38 37 40 40 40 40 39 40 40 39 39 40 40 40 39 40 40 38 38 39 40 40 38 34 39 38 37 40 37 39 40 39 37 40 37 40 40 39 40 36 40 39 39 40 40 40 40 40 37 40 40 40 39 38 40 40 39 40 40 40 38 40 40 40 40 40 39 40 39 40 40 40 40 39 40 40 40 40 40 40 38 38 40 37 40 38 40 40 40 34 40 40 40 40 38 36 40 38 40 40 40 36 39 40 40 40 36 39 40 37 40 40 40 40 39 39 39 40 40 40 39 38 40 40 38 40 38 40 40 38 40 39 40 40 40 40 40 40 39 40 38 39 40 40 40 37 40 40 38 38 38 40 40 40 40 37 40 39 40 40 40 40 37 40 38 40 38 40 39 40 40 37 40 40 37 40 37 40 39 40 37 38 40 38 40 39 40 39 40 39 38 39 35 39 40 38 39 40 40 40 39 40 39 36 38 37 40 39 39 38 38 40 39 35 39 40 40 39 38 40 38 40 40 35 38 40 39 40 39 37 40 40 38 40 40 38 40 40 38 40 40 40 40 39 40 36 40 40 36 37 40 39 39 40 39 39 40 40 40 38 39 39 38 40 37 40 37 35 40 40 38 38 40 40 40 40 40 40 37 36 40 40 38 39 40 40 40 38 40 37 40 37 40 40 40 39 38 38 37 38 38 40 37 40 40 39 40 39 39 40 38 39 40 40 40 40 39 38 39 40 40 40 37 39 39 39
